ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
963,41346201,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,SUBVENCIÓN AYTO. GARAFÍA FERIA GANADERA,6000,778
964,41346202,"AGRICULTURA, GANADERIA Y PESCA",GANADERÍA,SUBVENCIÓN AYTO. LOS LLANOS DE ARIDANE FERIA GANADERA,3000,779
682,33622698,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,GASTOS DIVERSOS MUSEO ARQUEOLOGICO BENAHORITA,2000,780
683,33622699,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,OTROS GASTOS DIVERSOS TALLER,6000,781
684,33622707,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,ESTUDIOS Y TRABAJOS TÉCNICOS,10000,782
685,33622709,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,EXCAVACIONES ARQUEOLÓGICAS,7000,783
686,33622710,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,ELABORACIÓN CARTAS ARQUEOLÓGICAS Y ETNOGRÁFICAS,9000,784
687,33622712,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,MEJORAS EN ZONAS ARQUEOLÓGICAS,15000,785
688,33622713,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,RESTAURACIÓN DE PIEZAS FOTOGRÁFICAS CONSERVADAS EN EL ARCHIVO INSULAR,14000,786
689,33622714,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,DIGITALIZACIÓN DOCUMENTOS DEL CENTRO DE DOCUMENTACIÓN MEMORÍA HISTÓRICA,7500,787
690,33622715,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,DINAMIZACIÓN DE MUSEOS,19000,788
691,33622716,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,"PILETAS MARINAS BENAHORITAS: INVENTARIO, ESTUDIO Y PUESTA EN VALOR",13804,789
692,33622717,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,ELABORACIÓN CATALOGO INSULAR BIENES PATRIMONIALES CULTURALES,10000,790
695,33648900,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,SUBV. OBISPADO INFORMATIZACIÓN LIBROS BAUTISMALES,12000,791
696,33648901,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,SUBV. CICOP RESTAURACIÓN Y CONSERVACION DEL PATRIMONIO,2000,792
697,33648904,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,SUBV. ASOC. MEMORIA HISTÓRICA LA PALMA IDENTIF. RESTOS Y GTOS FUNCION,8000,793
698,33648906,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,SUBV. CICOP ORGANIZ XXI SIMPOSIUN CENTROS HISTORICOS Y PATRIMONIO CULTURAL CANARIAS,35000,794
701,33662712,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,"REDACCIÓN PROYECTO DE REHABILITACIÓN ANTIGUA ""ACADEMIA GALDOS""",1000,795
702,33662714,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,EQUIPAMIENTO MUSEO ARQUEOLÓGICO,14000,796
705,33678902,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,SUBVENCIÓN OBISPADO PARA RESTAURACIÓN DE BIENES MUEBLES E INMUEBLES,255000,797
710,33846202,CULTURA,FIESTAS POPULARES Y FESTEJOS,SUBV. AYTO. TIJARAFE FIESTA VALOR ETNOGRÁFICO DANZA DEL DIABLO,4000,798
711,33846205,CULTURA,FIESTAS POPULARES Y FESTEJOS,SUBV. AYTO. EL PASO FIESTA VALOR ETNOGRÁFICO CORAZÓN DE JESÚS,2000,799
712,33846206,CULTURA,FIESTAS POPULARES Y FESTEJOS,SUBV. AYTO. FUENCALIENTE FIESTA VALOR ETNOGRÁFICO VENDIMIA - CABALLOS FUSCOS,1500,800
1471,92022706,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ESTUDIOS Y TRABAJOS TÉCNICOS,59000,801
1472,92022707,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ACTUACIONES ACTUALIZACIÓN PROPIEDADES Y FICHA INVENTARIO,30000,802
1473,92023020,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,DIETAS DEL PERSONAL NO DIRECTIVO,25000,803
1474,92023120,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,LOCOMOCIÓN DEL PERSONAL NO DIRECTIVO,25000,804
1477,92048000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,AYUDA ASOC. CANARIA AMIGOS PUEBLOS SAHARAUIS DESPLAZ NIÑOS,4631,805
1480,92062500,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ADQUISICIÓN MOBILIARIO Y ENSERES,15000,806
1481,92062600,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ADQUISICIÓN EQUIPOS INFORMÁTICOS,15000,807
1482,92062601,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"ADQUISICIÓN  EQUIPOS INFORMÁTICOS, IMAGEN E IMPRESIÓN PATRIMONIO",4000,808
1485,92083000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL, ANTICIPOS PAGAS AL PERSONAL,240000,809
1486,92083100,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"PRÉSTAMOS DE HASTA 3.942,87 EUROS",60000,810
1487,92083101,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,AYUDAS REINTEGRABLES EXCEPCIONALES,18000,811
