X,Y,FID,OBJECTID_1,OBJECTID_2,Objectid,Titular,Cod_post,Telefono,Clave_far,Cod_nuc,Nucleo,Pop_nuc,Cod_es,Ent_sing,Pop_ent,Cod_mun,Municipio,Provincia,Zf,Area_salud,Horario,Cod_area,Gerencia,Cod_distri,Cod_zbs,X_utm,Y_utm,Posicion,Y_wgs84,X_wgs84,Domicilio
-4.0371639847832,40.1844029678975,39,2498,1195,944,NATALIA FERNÁNDEZ BERMEJO,45950,918172036,TO-024-F,45041000101,CASARRUBIOS DEL MONTE,4024,450410001,CASARRUBIOS DEL MONTE,4191,45041,CASARRUBIOS DEL MONTE,TOLEDO,VALMOJADO,TOLEDO, ,7,TOLEDO,7-03,860,"411705,7834","4448740,1518","40.1844029688277, -4.0371639847832",40.1844029688277,-4.0371639847832,"CALLE AMARGURA, 2"
-4.126043970306,39.7607779613764,40,2499,1196,945,Mª SAGRARIO GONZALEZ MAYO,45124,925370694,TO-260-F,45042000101,CASASBUENAS,188,450420001,CASASBUENAS,188,45042,CASASBUENAS,TOLEDO,POLAN,TOLEDO, ,7,TOLEDO,7-05,775,"403545,5062","4401812,7138","39.7607779623042, -4.126043970306",39.7607779623042,-4.126043970306,"CALLE ESTANCO, 4"
-4.68546397636451,40.1010789867523,41,2500,1197,946,REBECA PALMERO AMOR,45641,925862045,TO-025-F,45043000101,CASTILLO DE BAYUELA,895,450430001,CASTILLO DE BAYUELA,895,45043,CASTILLO DE BAYUELA,TOLEDO,CASTILLO DE BAYUELA,TALAVERA DE LA REINA, ,6,TALAVERA,6-03,685,"356338,0888","4440337,4022","40.1010789876821, -4.68546397636451",40.1010789876821,-4.68546397636451,"PLAZA CONSTITUCION, S/N"
-4.67629399797715,40.0106039553889,42,2501,1198,947,Mª DEL SOL DE MIGUEL RODRIGUEZ,45553,925869075,TO-186-F,45045000101,CAZALEGAS,1927,450450001,CAZALEGAS,1927,45045,CAZALEGAS,TOLEDO,TALAVERA,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,818,"356930,6022","4430279,9393","40.0106039563182, -4.67629399797716",40.0106039563182,-4.67629399797716,"CALLE MAYOR, 5"
-4.56951299948147,39.9474370379986,43,2502,1199,948,ESTHER MARIA SANCHEZ SANCHEZ,45550,925866038,TO-026-F,45046000101,CEBOLLA,3201,450460001,CEBOLLA,3201,45046,CEBOLLA,TOLEDO,CEBOLLA,TALAVERA DE LA REINA, ,6,TALAVERA,6-03,690,"365921,1947","4423102,5703","39.9474370389275, -4.56951299948147",39.9474370389275,-4.56951299948147,"CALLE REAL, 19"
-3.92537304502847,40.114596023534,44,2503,1200,949,ELENA GUTIÉRREZ MARTÍN,45214,925508024,TO-027-F,45047000101,CEDILLO DEL CONDADO,3812,450470001,CEDILLO DEL CONDADO,3812,45047,CEDILLO DEL CONDADO,TOLEDO,ILLESCAS,TOLEDO, ,7,TOLEDO,7-03,720,"421142,0472","4440886,7104","40.1145960244638, -3.92537304502847",40.1145960244638,-3.92537304502847,"CALLE NACIONAL, 18"
-4.56896796702565,39.9838060408174,45,2504,1201,950,ANTONIA POYATOS DIAZ,45552,925872020,TO-232-F,45048000101,CERRALBOS (LOS),397,450480001,CERRALBOS (LOS),397,45048,LOS CERRALBOS,TOLEDO,CEBOLLA,TALAVERA DE LA REINA, ,6,TALAVERA,6-03,690,"366038,7804","4427138,5987","39.9838060417465, -4.56896796702565",39.9838060417465,-4.56896796702565,"PLAZA CONSTITUCION, 11, S/N"
-4.81198096181074,40.0514900422361,46,2505,1202,951,ANDRES GARCIA DIAZ,45637,925875572,TO-239-F,45049000101,CERVERA DE LOS MONTES,508,450490001,CERVERA DE LOS MONTES,508,45049,CERVERA DE LOS MONTES,TOLEDO,TALAVERA,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,820,"345441,6014","4435045,0494","40.0514900431656, -4.81198096181074",40.0514900431656,-4.81198096181074,"CALLE ERAS, 7"
-4.04388699559153,40.0998680247139,47,2506,1203,952,MANUEL LATORRE GARCIA,45960,918176048,TO-203-F,45056000101,CHOZAS DE CANALES,4496,450560001,CHOZAS DE CANALES,4496,45056,CHOZAS DE CANALES,TOLEDO,CAMARENA,TOLEDO, ,7,TOLEDO,7-03,680,"411023,2171","4439363,8103","40.0998680256437, -4.04388699559153",40.0998680256437,-4.04388699559153,"PLAZA ROCANALES, 5"
-3.94716202515649,39.7307529715177,48,2507,1204,953,Mª CARMEN MARTIN AGUADO,45113,925390523,TO-275-F,45057000101,CHUECA,249,450570001,CHUECA,249,45057,CHUECA,TOLEDO,SONSECA,TOLEDO, ,7,TOLEDO,7-01,810,"418833,2026","4398302,9682","39.7307529724453, -3.94716202515649",39.7307529724453,-3.94716202515649,"CALLE AZUCENA, 6"
-3.61354196281111,39.9389209577525,49,2508,1205,954,MOISES FERNANDEZ-ROLDAN GONZALEZ,45314,925154906,TO-246-F,45050000101,CIRUELOS,630,450500001,CIRUELOS,630,45050,CIRUELOS,TOLEDO,YEPES,TOLEDO, ,7,TOLEDO,7-02,890,"447581,4317","4421158,256","39.9389209586813, -3.61354196281111",39.9389209586813,-3.61354196281111,"PLAZA DEL SOL, 1"
-3.85835318688703,40.0228390714989,50,2509,1206,955,HELENA MONTERO REDONDO,45291,925551258,TO-193-F,45051000101,COBEJA,2482,450510001,COBEJA,2482,45051,COBEJA,TOLEDO,VILLALUENGA DE LA SAGRA,TOLEDO, ,7,TOLEDO,7-03,875,"426755,1663","4430644,9806","40.0228390724282, -3.85835318688703",40.0228390724282,-3.85835318688703,"PLAZA DE LA CONSTITUCION, 10"
-4.02447503964277,39.8043129694216,51,2510,1207,956,OLVIDO DE GRACIA VALERO,45111,925376249,TO-255-F,45052000101,COBISA,1520,450520001,COBISA,3548,45052,COBISA,TOLEDO,TOLEDO,TOLEDO, ,7,TOLEDO,7-04,850,"412301,1498","4406540,1915","39.8043129703497, -4.02447503964277",39.8043129703497,-4.02447503964277,"CALLE CASTILLA LA MANCHA, 17"
-3.07212698037474,38.6586519617093,52,2061,734,549,ALFONSO MARTIN   PARTEARROYO,13345,926365029,CR-222-F,13037000101,COZAR,913,130370001,COZAR,913,13037,CÓZAR,CIUDAD REAL,VILLANUEVA DE LOS INFANTES,CIUDAD REAL, ,3,VALDEPEÑAS,3-03,330,"493724,5002","4278900,4022","38.6586519626298, -3.07212698037474",38.6586519626298,-3.07212698037474,"CASTILLA LA MANCHA, 19"
-3.90245300654471,39.1239740123075,53,2062,735,550,EVA LABRADO BERMUDEZ,13140,926809260,CR-066-F,13040000101,FERNAN CABALLERO,977,130400001,FERNAN CABALLERO,977,13040,FERNÁN CABALLERO,CIUDAD REAL,MALAGON,CIUDAD REAL, ,3,CIUDAD REAL,3-01,250,"421990,8992","4330921,9334","39.1239740132312, -3.90245300654472",39.1239740132312,-3.90245300654472,"CALLE MACARIO DORADO, 15"
-4.51610300651476,39.2187309882847,54,2063,736,551,YOLANDA GONZALEZ HIDALGO,13193,926771085,CR-212-F,13041000101,FONTANAREJO,246,130410001,FONTANAREJO,246,13041,FONTANAREJO,CIUDAD REAL,ALCOBA DE LOS MONTES,CIUDAD REAL, ,3,CIUDAD REAL,3-02,165,"369120,0463","4342144,859","39.2187309892091, -4.51610300651476",39.2187309892091,-4.51610300651476,"EMPEDRADA, 25"
-4.30577702992061,38.405840014373,55,2064,737,552,JULIO MUÑOZ MUÑOZ,13130,926470010,CR-067-F,13042000101,FUENCALIENTE,1011,130420001,FUENCALIENTE,1011,13042,FUENCALIENTE,CIUDAD REAL,FUENCALIENTE,PUERTOLLANO, ,8,PUERTOLLANO,8-01,240,"385988,6689","4251652,5284","38.4058400152917, -4.30577702992061",38.4058400152917,-4.30577702992061,"PLAZA PORTALES, 11"
-2.95962802223646,38.7549680218669,56,2065,738,553,Mª LUCIA PATON RODRIGUEZ,13333,926361849,CR-210-F,13043000101,FUENLLANA,214,130430001,FUENLLANA,214,13043,FUENLLANA,CIUDAD REAL,VILLANUEVA DE LOS INFANTES,CIUDAD REAL, ,3,VALDEPEÑAS,3-03,330,"503507,9059","4289586,4671","38.7549680227881, -2.95962802223646",38.7549680227881,-2.95962802223646,"JOSE ANTONIO, 5"
-2.1643380124578,39.205651016571,57,1659,372,252,SABINA CABEDO GIMENO,02630, ,AB-198-F,02069000101,RODA (LA),15488,020690001,RODA (LA),15488,02069,LA RODA,ALBACETE,"RODA,LA",ALBACETE, ,1,ALBACETE,1-07,115,"572152,0199","4339930,9096","39.2056510174953, -2.1643380124578",39.2056510174953,-2.1643380124578,"CALLE CID, 54"
-3.77414300304192,39.2281030289113,58,2066,739,554,CARLOS JESUS LOPEZ MARTINEZ,13680, ,CR-247-F,13044000301,FUENTE EL FRESNO,2974,130440003,FUENTE EL FRESNO,2974,13044,FUENTE EL FRESNO,CIUDAD REAL,MALAGON,CIUDAD REAL, ,3,CIUDAD REAL,3-01,250,"433180,9552","4342375,402","39.2281030298358, -3.77414300304192",39.2281030298358,-3.77414300304192,"PIO XII, 5"
-3.24230696351248,38.8459049774758,59,2067,740,642,MARIA CAMINO RODRIGUEZ REDONDO,13247,926630177,CR-197-F,13074000101,SAN CARLOS DEL VALLE,1099,130740001,SAN CARLOS DEL VALLE,1099,13074,SAN CARLOS DEL VALLE,CIUDAD REAL,"SOLANA,LA",LA MANCHA-CENTRO, ,2,MANZANARES,2-02,315,"478972,7672","4299704,6076","38.8459049783977, -3.24230696351248",38.8459049783977,-3.24230696351248,"RAMON Y CAJAL, 8"
-2.15698200928965,39.208326034423,60,1660,373,253,Mª JOSE GARVI GARCIA,02630,967440452,AB-110-F,02069000101,RODA (LA),15488,020690001,RODA (LA),15488,02069,LA ROSA,ALBACETE,"RODA,LA",ALBACETE, ,1,ALBACETE,1-07,115,"572784,3937","4340233,658","39.2083260353474, -2.15698200928965",39.2083260353474,-2.15698200928965,"CALLE PEÑICAS, 33"
