Time_s         F1_Hz        F2_Hz         F3_Hz   F4_Hz
1.975405   3015.053756   4236.448671   --undefined--   --undefined--
1.981655   3014.671468   4209.355575   --undefined--   --undefined--
1.987905   3016.566765   4199.958551   --undefined--   --undefined--
1.994155   3055.482359   4156.160408   --undefined--   --undefined--
2.000405   3046.407150   4117.880529   --undefined--   --undefined--
2.006655   2984.659378   4110.514608   --undefined--   --undefined--
2.012905   3005.195140   4097.094838   --undefined--   --undefined--
2.019155   3001.822323   4132.333510   --undefined--   --undefined--
2.025405   2967.882274   4121.645926   --undefined--   --undefined--
2.031655   2922.062202   4137.818824   --undefined--   --undefined--
2.037905   2918.048921   4133.386079   --undefined--   --undefined--
2.044155   2933.463835   4104.377580   --undefined--   --undefined--
2.050405   2929.802493   4094.975966   --undefined--   --undefined--
2.056655   2914.480702   4092.572035   --undefined--   --undefined--
2.062905   2871.302441   4097.285455   --undefined--   --undefined--
2.069155   2846.719587   4072.815616   --undefined--   --undefined--
2.075405   2837.775192   4063.430922   --undefined--   --undefined--
2.081655   2838.294067   4088.473279   --undefined--   --undefined--
2.087905   2846.632652   4093.046360   --undefined--   --undefined--
2.094155   2873.211996   4088.302318   --undefined--   --undefined--
2.100405   2944.446829   4063.340673   --undefined--   --undefined--
2.106655   2988.639011   4046.697082   --undefined--   --undefined--
2.112905   2946.654506   4057.902399   --undefined--   --undefined--
2.119155   2891.723024   4084.376517   --undefined--   --undefined--
2.125405   2892.153732   4080.147683   --undefined--   --undefined--
2.131655   2919.165287   4044.934344   --undefined--   --undefined--
2.137905   2969.397533   3958.588284   --undefined--   --undefined--
2.144155   2958.589028   3899.654355   --undefined--   --undefined--
2.150405   2943.493277   3897.274946   --undefined--   --undefined--
2.156655   2993.509941   3837.672654   --undefined--   --undefined--
2.162905   3288.433485   3421.176719   --undefined--   --undefined--
2.169155   3395.325300   --undefined--   --undefined--   --undefined--
2.175405   3331.281969   --undefined--   --undefined--   --undefined--
2.181655   3402.875271   --undefined--   --undefined--   --undefined--
2.187905   3340.240379   --undefined--   --undefined--   --undefined--
